shape-1      Stroke        g1 staff-1+staff-pair-1-measure-1 -> staff-1+staff-pair-1-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-2      Stroke        g1 staff-1+staff-pair-1-measure-1 -> staff-1+staff-pair-1-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-3      Stroke        g1 staff-1+staff-pair-1-measure-1 -> staff-1+staff-pair-1-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-4      Stroke        g1 staff-1+staff-pair-1-measure-1 -> staff-1+staff-pair-1-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-5      Stroke        g1 staff-1+staff-pair-1-measure-1 -> staff-1+staff-pair-1-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-6      Stroke        g1 staff-2+staff-pair-1-measure-1 -> staff-2+staff-pair-1-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-7      Stroke        g1 staff-2+staff-pair-1-measure-1 -> staff-2+staff-pair-1-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-8      Stroke        g1 staff-2+staff-pair-1-measure-1 -> staff-2+staff-pair-1-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-9      Stroke        g1 staff-2+staff-pair-1-measure-1 -> staff-2+staff-pair-1-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-10     Stroke        g1 staff-2+staff-pair-1-measure-1 -> staff-2+staff-pair-1-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-11     Stroke        g1 staff-3+staff-pair-2-measure-1 -> staff-3+staff-pair-2-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-12     Stroke        g1 staff-3+staff-pair-2-measure-1 -> staff-3+staff-pair-2-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-13     Stroke        g1 staff-3+staff-pair-2-measure-1 -> staff-3+staff-pair-2-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-14     Stroke        g1 staff-3+staff-pair-2-measure-1 -> staff-3+staff-pair-2-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-15     Stroke        g1 staff-3+staff-pair-2-measure-1 -> staff-3+staff-pair-2-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-16     Stroke        g1 staff-4+staff-pair-2-measure-1 -> staff-4+staff-pair-2-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-17     Stroke        g1 staff-4+staff-pair-2-measure-1 -> staff-4+staff-pair-2-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-18     Stroke        g1 staff-4+staff-pair-2-measure-1 -> staff-4+staff-pair-2-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-19     Stroke        g1 staff-4+staff-pair-2-measure-1 -> staff-4+staff-pair-2-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-20     Stroke        g1 staff-4+staff-pair-2-measure-1 -> staff-4+staff-pair-2-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-21     Stroke        g1 staff-5+staff-pair-3-measure-1 -> staff-5+staff-pair-3-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-22     Stroke        g1 staff-5+staff-pair-3-measure-1 -> staff-5+staff-pair-3-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-23     Stroke        g1 staff-5+staff-pair-3-measure-1 -> staff-5+staff-pair-3-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-24     Stroke        g1 staff-5+staff-pair-3-measure-1 -> staff-5+staff-pair-3-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-25     Stroke        g1 staff-5+staff-pair-3-measure-1 -> staff-5+staff-pair-3-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-26     Stroke        g1 staff-6+staff-pair-3-measure-1 -> staff-6+staff-pair-3-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-27     Stroke        g1 staff-6+staff-pair-3-measure-1 -> staff-6+staff-pair-3-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-28     Stroke        g1 staff-6+staff-pair-3-measure-1 -> staff-6+staff-pair-3-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-29     Stroke        g1 staff-6+staff-pair-3-measure-1 -> staff-6+staff-pair-3-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-30     Stroke        g1 staff-6+staff-pair-3-measure-1 -> staff-6+staff-pair-3-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-31     Stroke        g1 staff-7+staff-pair-4-measure-1 -> staff-7+staff-pair-4-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-32     Stroke        g1 staff-7+staff-pair-4-measure-1 -> staff-7+staff-pair-4-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-33     Stroke        g1 staff-7+staff-pair-4-measure-1 -> staff-7+staff-pair-4-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-34     Stroke        g1 staff-7+staff-pair-4-measure-1 -> staff-7+staff-pair-4-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-35     Stroke        g1 staff-7+staff-pair-4-measure-1 -> staff-7+staff-pair-4-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-36     Stroke        g1 staff-8+staff-pair-4-measure-1 -> staff-8+staff-pair-4-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-37     Stroke        g1 staff-8+staff-pair-4-measure-1 -> staff-8+staff-pair-4-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-38     Stroke        g1 staff-8+staff-pair-4-measure-1 -> staff-8+staff-pair-4-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-39     Stroke        g1 staff-8+staff-pair-4-measure-1 -> staff-8+staff-pair-4-measure-5 reason=DirectIntersection; parent=-; distance=0.000
