OWNERSHIP RENDER DIAGNOSTICS
owned=no                   => ownership algorithm did not assign the shape
owned=yes rendered=no      => renderer/source mapping problem
mode=compound-component    => this split component was rendered with its own ownership color
mode=neutral-layout        => staff/bar layout geometry intentionally remains black
mode=compound-dominant     => component rendering was impossible; one fallback color was chosen
color-match=no             => shape has ownership, but fallback compound source used another color

SUMMARY
Stroke        total= 626 owned= 625 rendered= 625 exact-color= 625
CurvedStroke  total=  39 owned=  37 rendered=  37 exact-color=  37
EllipseLike   total= 417 owned= 409 rendered= 409 exact-color= 409
ShapeInstance total= 271 owned= 217 rendered= 217 exact-color= 217

DETAILS
shape-1122   CurvedStroke  owned=yes staff-1+staff-pair-1-measure-1         g4 rendered=yes; mode=direct; displayed=staff-1+staff-pair-1-measure-1; color-match=yes; source=<path>
shape-1126.21 CurvedStroke  owned=yes staff-1+staff-pair-1-measure-2         g4 rendered=yes; mode=compound-component; displayed=staff-1+staff-pair-1-measure-2; color-match=yes; source=<path>
shape-1126.8 CurvedStroke  owned=yes staff-1+staff-pair-1-measure-1         g2 rendered=yes; mode=compound-component; displayed=staff-1+staff-pair-1-measure-1; color-match=yes; source=<path>
shape-1235   CurvedStroke  owned=yes staff-9+staff-pair-5-measure-6         g1 rendered=yes; mode=direct; displayed=staff-9+staff-pair-5-measure-6; color-match=yes; source=<path>
shape-1236   CurvedStroke  owned=yes staff-9+staff-pair-5-measure-6         g1 rendered=yes; mode=direct; displayed=staff-9+staff-pair-5-measure-6; color-match=yes; source=<path>
shape-1237   CurvedStroke  owned=yes staff-10+staff-pair-5-measure-6        g1 rendered=yes; mode=direct; displayed=staff-10+staff-pair-5-measure-6; color-match=yes; source=<path>
shape-1238   CurvedStroke  owned=yes staff-10+staff-pair-5-measure-6        g1 rendered=yes; mode=direct; displayed=staff-10+staff-pair-5-measure-6; color-match=yes; source=<path>
shape-126    CurvedStroke  owned=yes staff-8+staff-pair-4-measure-1         g1 rendered=yes; mode=direct; displayed=staff-8+staff-pair-4-measure-1; color-match=yes; source=<path>
shape-127    CurvedStroke  owned=yes staff-5+staff-pair-3-measure-2         g1 rendered=yes; mode=direct; displayed=staff-5+staff-pair-3-measure-2; color-match=yes; source=<path>
shape-128    CurvedStroke  owned=yes staff-5+staff-pair-3-measure-2         g1 rendered=yes; mode=direct; displayed=staff-5+staff-pair-3-measure-2; color-match=yes; source=<path>
shape-129    CurvedStroke  owned=yes staff-5+staff-pair-3-measure-2         g1 rendered=yes; mode=direct; displayed=staff-5+staff-pair-3-measure-2; color-match=yes; source=<path>
shape-130    CurvedStroke  owned=yes staff-10+staff-pair-5-measure-1        g2 rendered=yes; mode=direct; displayed=staff-10+staff-pair-5-measure-1; color-match=yes; source=<path>
shape-131    CurvedStroke  owned=yes staff-10+staff-pair-5-measure-1        g1 rendered=yes; mode=direct; displayed=staff-10+staff-pair-5-measure-1; color-match=yes; source=<path>
shape-132    CurvedStroke  owned=yes staff-8+staff-pair-4-measure-2         g1 rendered=yes; mode=direct; displayed=staff-8+staff-pair-4-measure-2; color-match=yes; source=<path>
shape-133    CurvedStroke  owned=yes staff-10+staff-pair-5-measure-1        g1 rendered=yes; mode=direct; displayed=staff-10+staff-pair-5-measure-1; color-match=yes; source=<path>
shape-134    CurvedStroke  owned=yes staff-6+staff-pair-3-measure-6         g1 rendered=yes; mode=direct; displayed=staff-6+staff-pair-3-measure-6; color-match=yes; source=<path>
shape-135    CurvedStroke  owned=yes staff-8+staff-pair-4-measure-2         g1 rendered=yes; mode=direct; displayed=staff-8+staff-pair-4-measure-2; color-match=yes; source=<path>
shape-136    CurvedStroke  owned=yes staff-8+staff-pair-4-measure-2         g2 rendered=yes; mode=direct; displayed=staff-8+staff-pair-4-measure-2; color-match=yes; source=<path>
shape-137    CurvedStroke  owned=yes staff-8+staff-pair-4-measure-2         g2 rendered=yes; mode=direct; displayed=staff-8+staff-pair-4-measure-2; color-match=yes; source=<path>
shape-138    CurvedStroke  owned=yes staff-8+staff-pair-4-measure-3         g1 rendered=yes; mode=direct; displayed=staff-8+staff-pair-4-measure-3; color-match=yes; source=<path>
shape-139    CurvedStroke  owned=yes staff-6+staff-pair-3-measure-3         g2 rendered=yes; mode=direct; displayed=staff-6+staff-pair-3-measure-3; color-match=yes; source=<path>
shape-140    CurvedStroke  owned=yes staff-10+staff-pair-5-measure-1        g1 rendered=yes; mode=direct; displayed=staff-10+staff-pair-5-measure-1; color-match=yes; source=<path>
shape-141    CurvedStroke  owned=yes staff-6+staff-pair-3-measure-3         g1 rendered=yes; mode=direct; displayed=staff-6+staff-pair-3-measure-3; color-match=yes; source=<path>
shape-142    CurvedStroke  owned=yes staff-6+staff-pair-3-measure-2         g1 rendered=yes; mode=direct; displayed=staff-6+staff-pair-3-measure-2; color-match=yes; source=<path>
shape-143    CurvedStroke  owned=yes staff-10+staff-pair-5-measure-1        g1 rendered=yes; mode=direct; displayed=staff-10+staff-pair-5-measure-1; color-match=yes; source=<path>
shape-144    CurvedStroke  owned=yes staff-10+staff-pair-5-measure-1        g1 rendered=yes; mode=direct; displayed=staff-10+staff-pair-5-measure-1; color-match=yes; source=<path>
shape-145    CurvedStroke  owned=yes staff-10+staff-pair-5-measure-1        g2 rendered=yes; mode=direct; displayed=staff-10+staff-pair-5-measure-1; color-match=yes; source=<path>
shape-146    CurvedStroke  owned=yes staff-10+staff-pair-5-measure-1        g1 rendered=yes; mode=direct; displayed=staff-10+staff-pair-5-measure-1; color-match=yes; source=<path>
shape-147    CurvedStroke  owned=yes staff-8+staff-pair-4-measure-3         g1 rendered=yes; mode=direct; displayed=staff-8+staff-pair-4-measure-3; color-match=yes; source=<path>
shape-148    CurvedStroke  owned=yes staff-8+staff-pair-4-measure-3         g2 rendered=yes; mode=direct; displayed=staff-8+staff-pair-4-measure-3; color-match=yes; source=<path>
shape-149    CurvedStroke  owned=yes staff-8+staff-pair-4-measure-3         g1 rendered=yes; mode=direct; displayed=staff-8+staff-pair-4-measure-3; color-match=yes; source=<path>
shape-150    CurvedStroke  owned=yes staff-10+staff-pair-5-measure-1        g1 rendered=yes; mode=direct; displayed=staff-10+staff-pair-5-measure-1; color-match=yes; source=<path>
shape-151    CurvedStroke  owned=yes staff-6+staff-pair-3-measure-7         g2 rendered=yes; mode=direct; displayed=staff-6+staff-pair-3-measure-7; color-match=yes; source=<path>
