BEAM ATTACHMENT ANALYSIS

candidates=55
accepted=52
rejected=3
hooks=1
cross-staff=0
level-1=45
level-2=6
level-3=1
level-4+=0

ACCEPTED BEAMS
shape-1069: attached-primary-beam; m1; level=1; from=(624.27,645.45) to=(704.60,641.82); length=3.79sp; width=0.581sp; slope=-0.045; left=True; right=True; hook=False; cross-staff=False; stems=[shape-478@0.00sp,shape-491@0.04sp]; confidence=89.2 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.581sp; slope=-0.045; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
shape-1070: attached-primary-beam; m2; level=1; from=(1068.34,645.45) to=(1148.67,641.82); length=3.79sp; width=0.581sp; slope=-0.045; left=True; right=True; hook=False; cross-staff=False; stems=[shape-499@0.00sp,shape-512@0.04sp]; confidence=89.2 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.581sp; slope=-0.045; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
shape-1073: attached-primary-beam; m2; level=1; from=(1371.49,629.47) to=(1513.92,631.25); length=6.71sp; width=0.584sp; slope=0.013; left=True; right=True; hook=False; cross-staff=False; stems=[shape-517@0.00sp,shape-521@0.00sp,shape-523@0.00sp,shape-525@0.02sp,shape-527@0.04sp]; confidence=89.9 %; beam-like stroke intersects 5 stem(s); left-supported=True; right-supported=True; width=0.584sp; slope=0.013; level=1 from per-stem rank(s) [1,1,1,1,1]; first-level beam has both ends supported by stems
shape-1074: attached-secondary-beam; m2; level=2; from=(1371.49,645.40) to=(1513.92,647.18); length=6.71sp; width=0.584sp; slope=0.013; left=True; right=True; hook=False; cross-staff=False; stems=[shape-517@0.71sp,shape-521@0.73sp,shape-523@0.75sp,shape-525@0.77sp,shape-527@0.79sp]; confidence=89.9 %; beam-like stroke intersects 5 stem(s); left-supported=True; right-supported=True; width=0.584sp; slope=0.013; level=2 from per-stem rank(s) [2,2,2,2,2]; both beam ends terminate at stems
shape-1075: attached-secondary-beam; m2; level=3; from=(1371.49,661.33) to=(1513.92,663.11); length=6.71sp; width=0.584sp; slope=0.013; left=True; right=True; hook=False; cross-staff=False; stems=[shape-517@1.46sp,shape-521@1.48sp,shape-523@1.50sp,shape-525@1.52sp,shape-527@1.54sp]; confidence=89.9 %; beam-like stroke intersects 5 stem(s); left-supported=True; right-supported=True; width=0.584sp; slope=0.013; level=3 from per-stem rank(s) [3,3,3,3,3]; both beam ends terminate at stems
shape-1079: attached-primary-beam; m3; level=1; from=(1601.30,656.07) to=(1681.63,652.44); length=3.79sp; width=0.581sp; slope=-0.045; left=True; right=True; hook=False; cross-staff=False; stems=[shape-529@0.00sp,shape-541@0.04sp]; confidence=89.2 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.581sp; slope=-0.045; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
shape-1081: attached-primary-beam; m4; level=1; from=(2029.71,656.07) to=(2110.04,652.44); length=3.79sp; width=0.581sp; slope=-0.045; left=True; right=True; hook=False; cross-staff=False; stems=[shape-546@0.00sp,shape-555@0.04sp]; confidence=89.2 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.581sp; slope=-0.045; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
shape-1088: attached-primary-beam; m5; level=1; from=(2630.70,645.45) to=(2711.03,641.82); length=3.79sp; width=0.581sp; slope=-0.045; left=True; right=True; hook=False; cross-staff=False; stems=[shape-476@0.00sp,shape-490@0.04sp]; confidence=89.2 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.581sp; slope=-0.045; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
shape-1089: attached-primary-beam; m6; level=1; from=(722.36,1356.72) to=(803.35,1363.99); length=3.83sp; width=0.588sp; slope=0.090; left=True; right=True; hook=False; cross-staff=False; stems=[shape-492@0.00sp,shape-496@0.04sp]; confidence=87.3 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.588sp; slope=0.090; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
shape-1099: attached-primary-beam; m7; level=1; from=(1046.80,1537.40) to=(1127.57,1533.77); length=3.81sp; width=0.581sp; slope=-0.045; left=True; right=True; hook=False; cross-staff=False; stems=[shape-577@0.04sp,shape-581@0.00sp]; confidence=89.2 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.581sp; slope=-0.045; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
shape-1106: attached-primary-beam; m7; level=1; from=(1071.89,1571.31) to=(1153.46,1562.17); length=3.86sp; width=0.578sp; slope=-0.112; left=True; right=True; hook=False; cross-staff=False; stems=[shape-656@0.00sp,shape-596@0.04sp]; confidence=87.5 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.578sp; slope=-0.112; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
