FLAG ATTACHMENT ANALYSIS

candidates=9
accepted=9
unmatched=0
ambiguous=0
stem-conflicts=0

ACCEPTED FLAGS
shape-661: FLAG_1; attached-flag; m5; level=1; classifier=99.8 %; stem=shape-475; tip=(2554.39,635.84); left-edge-distance=0.050sp; vertical-distance=0.000sp; confidence=97.8 %; FLAG_1 at 99.8 %; free tip of stem shape-475 is 0.050sp from flag left edge and 0.000sp from its vertical bbox; level=1
shape-665: FLAG_1; attached-flag; m6; level=1; classifier=99.8 %; stem=shape-489; tip=(645.72,1341.94); left-edge-distance=0.050sp; vertical-distance=0.000sp; confidence=97.8 %; FLAG_1 at 99.8 %; free tip of stem shape-489 is 0.050sp from flag left edge and 0.000sp from its vertical bbox; level=1
shape-667: FLAG_1_DOWN; attached-flag; m7; level=1; classifier=99.9 %; stem=shape-576; tip=(970.05,1554.08); left-edge-distance=0.050sp; vertical-distance=0.000sp; confidence=97.8 %; FLAG_1_DOWN at 99.9 %; free tip of stem shape-576 is 0.050sp from flag left edge and 0.000sp from its vertical bbox; level=1
shape-668: FLAG_1; attached-flag; m7; level=1; classifier=99.8 %; stem=shape-651; tip=(995.54,1566.91); left-edge-distance=0.050sp; vertical-distance=0.000sp; confidence=97.8 %; FLAG_1 at 99.8 %; free tip of stem shape-651 is 0.050sp from flag left edge and 0.000sp from its vertical bbox; level=1
shape-664: FLAG_1; attached-flag; m15; level=1; classifier=99.8 %; stem=shape-511; tip=(1611.45,2012.87); left-edge-distance=0.050sp; vertical-distance=0.000sp; confidence=97.8 %; FLAG_1 at 99.8 %; free tip of stem shape-511 is 0.050sp from flag left edge and 0.000sp from its vertical bbox; level=1
shape-669: FLAG_1; attached-flag; m16; level=1; classifier=99.8 %; stem=shape-629; tip=(1955.42,2235.89); left-edge-distance=0.050sp; vertical-distance=0.000sp; confidence=97.8 %; FLAG_1 at 99.8 %; free tip of stem shape-629 is 0.050sp from flag left edge and 0.000sp from its vertical bbox; level=1
shape-666: FLAG_1; attached-flag; m16; level=1; classifier=99.8 %; stem=shape-495; tip=(2072.13,2012.87); left-edge-distance=0.050sp; vertical-distance=0.000sp; confidence=97.8 %; FLAG_1 at 99.8 %; free tip of stem shape-495 is 0.050sp from flag left edge and 0.000sp from its vertical bbox; level=1
shape-662: FLAG_1; attached-flag; m18; level=1; classifier=99.8 %; stem=shape-552; tip=(843.66,2713.71); left-edge-distance=0.050sp; vertical-distance=0.000sp; confidence=97.8 %; FLAG_1 at 99.8 %; free tip of stem shape-552 is 0.050sp from flag left edge and 0.000sp from its vertical bbox; level=1
shape-663: FLAG_1; attached-flag; m27; level=1; classifier=99.8 %; stem=shape-563; tip=(2214.50,3426.75); left-edge-distance=0.050sp; vertical-distance=0.000sp; confidence=97.8 %; FLAG_1 at 99.8 %; free tip of stem shape-563 is 0.050sp from flag left edge and 0.000sp from its vertical bbox; level=1

REJECTED CLASSIFIED FLAGS
