STEM ATTACHMENT ANALYSIS

candidates=297
accepted=188
unmatched=109
cross-staff=0
ambiguous-direction=0
noteheads-attached=301/301

ACCEPTED STEMS
shape-597: attached-stem; m1; from=(588.68,673.82) to=(588.68,754.10); length=3.33sp; width=0.110sp; vertical-ratio=0.000; direction=Down; cross-staff=False; noteheads=[shape-816/s1]; confidence=76.9 %; vertical stroke touches 1 notehead(s); best edge distance=0.100sp; vertical-ratio=0.000; width=0.110sp; direction=Down; ownership-span=False; cross-staff=False
shape-640: attached-stem; m1; from=(588.68,847.00) to=(588.68,987.52); length=5.83sp; width=0.110sp; vertical-ratio=0.000; direction=Down; cross-staff=False; noteheads=[shape-955/s2,shape-954/s2]; confidence=83.1 %; vertical stroke touches 2 notehead(s); best edge distance=0.100sp; vertical-ratio=0.000; width=0.110sp; direction=Down; ownership-span=False; cross-staff=False
shape-563: attached-stem; m1; from=(617.36,579.33) to=(617.36,641.82); length=2.59sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-707/s1]; confidence=78.1 %; vertical stroke touches 1 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-559: attached-stem; m1; from=(708.85,573.48) to=(708.85,629.78); length=2.34sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-711/s1]; confidence=78.1 %; vertical stroke touches 1 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-557: attached-stem; m1; from=(800.34,573.39) to=(800.34,629.78); length=2.34sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-712/s1]; confidence=78.1 %; vertical stroke touches 1 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-556: attached-stem; m1; from=(910.12,585.44) to=(910.12,641.82); length=2.34sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-713/s1]; confidence=78.1 %; vertical stroke touches 1 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-598: attached-stem; m2; from=(1055.56,685.87) to=(1055.56,766.15); length=3.33sp; width=0.110sp; vertical-ratio=0.000; direction=Down; cross-staff=False; noteheads=[shape-817/s1,shape-818/s1]; confidence=84.1 %; vertical stroke touches 2 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Down; ownership-span=False; cross-staff=False
shape-641: attached-stem; m2; from=(1055.56,871.10) to=(1055.56,1023.66); length=6.33sp; width=0.110sp; vertical-ratio=0.000; direction=Down; cross-staff=False; noteheads=[shape-948/s2,shape-945/s2]; confidence=83.1 %; vertical stroke touches 2 notehead(s); best edge distance=0.100sp; vertical-ratio=0.000; width=0.110sp; direction=Down; ownership-span=False; cross-staff=False
shape-555: attached-stem; m2; from=(1084.23,579.33) to=(1084.23,641.82); length=2.59sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-714/s1]; confidence=78.1 %; vertical stroke touches 1 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-547: attached-stem; m2; from=(1175.72,573.48) to=(1175.72,629.78); length=2.34sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-725/s1]; confidence=78.1 %; vertical stroke touches 1 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-542: attached-stem; m2; from=(1267.21,573.39) to=(1267.21,629.78); length=2.34sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-726/s1]; confidence=78.1 %; vertical stroke touches 1 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-539: attached-stem; m2; from=(1389.35,561.35) to=(1389.35,653.87); length=3.84sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-729/s1]; confidence=78.1 %; vertical stroke touches 1 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-483: attached-stem; m2; from=(1449.26,561.35) to=(1449.26,641.82); length=3.34sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-733/s1]; confidence=78.1 %; vertical stroke touches 1 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-533: attached-stem; m2; from=(1509.18,561.35) to=(1509.18,653.87); length=3.84sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-735/s1]; confidence=78.1 %; vertical stroke touches 1 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-527: attached-stem; m2; from=(1569.09,561.35) to=(1569.09,665.92); length=4.34sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-742/s1]; confidence=78.1 %; vertical stroke touches 1 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-515: attached-stem; m2; from=(1629.00,561.35) to=(1629.00,653.87); length=3.84sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-743/s1]; confidence=78.1 %; vertical stroke touches 1 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
