OWNERSHIP RENDER DIAGNOSTICS
owned=no                   => ownership algorithm did not assign the shape
owned=yes rendered=no      => renderer/source mapping problem
mode=compound-component    => this split component was rendered with its own ownership color
mode=neutral-layout        => staff/bar layout geometry intentionally remains black
mode=compound-dominant     => component rendering was impossible; one fallback color was chosen
color-match=no             => shape has ownership, but fallback compound source used another color

SUMMARY
Stroke        total= 323 owned= 319 rendered= 319 exact-color= 319
CurvedStroke  total=  67 owned=  55 rendered=  55 exact-color=  55
EllipseLike   total= 364 owned= 332 rendered= 332 exact-color= 332
ShapeInstance total= 244 owned= 121 rendered= 121 exact-color= 121

DETAILS
shape-118.1  CurvedStroke  owned=yes staff-1+staff-pair-1-measure-1         g2 rendered=yes; mode=compound-component; displayed=staff-1+staff-pair-1-measure-1; color-match=yes; source=<path>
shape-118.2  CurvedStroke  owned=yes staff-1+staff-pair-1-measure-1         g1 rendered=yes; mode=compound-component; displayed=staff-1+staff-pair-1-measure-1; color-match=yes; source=<path>
shape-118.3  CurvedStroke  owned=yes staff-1+staff-pair-1-measure-2         g2 rendered=yes; mode=compound-component; displayed=staff-1+staff-pair-1-measure-2; color-match=yes; source=<path>
shape-118.4  CurvedStroke  owned=yes staff-1+staff-pair-1-measure-2         g2 rendered=yes; mode=compound-component; displayed=staff-1+staff-pair-1-measure-2; color-match=yes; source=<path>
shape-118.5  CurvedStroke  owned=yes staff-1+staff-pair-1-measure-3         g1 rendered=yes; mode=compound-component; displayed=staff-1+staff-pair-1-measure-3; color-match=yes; source=<path>
shape-118.6  CurvedStroke  owned=yes staff-1+staff-pair-1-measure-3         g1 rendered=yes; mode=compound-component; displayed=staff-1+staff-pair-1-measure-3; color-match=yes; source=<path>
shape-118.7  CurvedStroke  owned=yes staff-1+staff-pair-1-measure-4         g1 rendered=yes; mode=compound-component; displayed=staff-1+staff-pair-1-measure-4; color-match=yes; source=<path>
shape-306.1  CurvedStroke  owned=yes staff-3+staff-pair-2-measure-1         g1 rendered=yes; mode=compound-component; displayed=staff-3+staff-pair-2-measure-1; color-match=yes; source=<path>
shape-306.2  CurvedStroke  owned=yes staff-3+staff-pair-2-measure-1         g2 rendered=yes; mode=compound-component; displayed=staff-3+staff-pair-2-measure-1; color-match=yes; source=<path>
shape-306.3  CurvedStroke  owned=yes staff-3+staff-pair-2-measure-2         g1 rendered=yes; mode=compound-component; displayed=staff-3+staff-pair-2-measure-2; color-match=yes; source=<path>
shape-306.4  CurvedStroke  owned=yes staff-3+staff-pair-2-measure-2         g1 rendered=yes; mode=compound-component; displayed=staff-3+staff-pair-2-measure-2; color-match=yes; source=<path>
shape-306.5  CurvedStroke  owned=yes staff-4+staff-pair-2-measure-3         g1 rendered=yes; mode=compound-component; displayed=staff-4+staff-pair-2-measure-3; color-match=yes; source=<path>
shape-306.6  CurvedStroke  owned=yes staff-4+staff-pair-2-measure-3         g1 rendered=yes; mode=compound-component; displayed=staff-4+staff-pair-2-measure-3; color-match=yes; source=<path>
shape-306.7  CurvedStroke  owned=yes staff-4+staff-pair-2-measure-4         g1 rendered=yes; mode=compound-component; displayed=staff-4+staff-pair-2-measure-4; color-match=yes; source=<path>
shape-306.8  CurvedStroke  owned=yes staff-4+staff-pair-2-measure-4         g1 rendered=yes; mode=compound-component; displayed=staff-4+staff-pair-2-measure-4; color-match=yes; source=<path>
shape-306.9  CurvedStroke  owned=yes staff-4+staff-pair-2-measure-4         g1 rendered=yes; mode=compound-component; displayed=staff-4+staff-pair-2-measure-4; color-match=yes; source=<path>
shape-33     CurvedStroke  owned=no  rendered=no  source=<use href=#n>
shape-348    CurvedStroke  owned=yes staff-5+staff-pair-3-measure-1         g3 rendered=yes; mode=direct; displayed=staff-5+staff-pair-3-measure-1; color-match=yes; source=<use href=#ownership-P-325>
shape-450    CurvedStroke  owned=yes staff-5+staff-pair-3-measure-3         g1 rendered=yes; mode=direct; displayed=staff-5+staff-pair-3-measure-3; color-match=yes; source=<path>
shape-451    CurvedStroke  owned=yes staff-5+staff-pair-3-measure-3         g1 rendered=yes; mode=direct; displayed=staff-5+staff-pair-3-measure-3; color-match=yes; source=<path>
shape-452.1  CurvedStroke  owned=yes staff-5+staff-pair-3-measure-3         g2 rendered=yes; mode=compound-component; displayed=staff-5+staff-pair-3-measure-3; color-match=yes; source=<path>
shape-452.2  CurvedStroke  owned=yes staff-6+staff-pair-3-measure-3         g1 rendered=yes; mode=compound-component; displayed=staff-6+staff-pair-3-measure-3; color-match=yes; source=<path>
shape-453.1  CurvedStroke  owned=yes staff-6+staff-pair-3-measure-3         g1 rendered=yes; mode=compound-component; displayed=staff-6+staff-pair-3-measure-3; color-match=yes; source=<path>
shape-453.2  CurvedStroke  owned=yes staff-6+staff-pair-3-measure-3         g1 rendered=yes; mode=compound-component; displayed=staff-6+staff-pair-3-measure-3; color-match=yes; source=<path>
shape-453.3  CurvedStroke  owned=yes staff-5+staff-pair-3-measure-1         g2 rendered=yes; mode=compound-component; displayed=staff-5+staff-pair-3-measure-1; color-match=yes; source=<path>
shape-453.4  CurvedStroke  owned=yes staff-5+staff-pair-3-measure-1         g1 rendered=yes; mode=compound-component; displayed=staff-5+staff-pair-3-measure-1; color-match=yes; source=<path>
shape-453.5  CurvedStroke  owned=yes staff-5+staff-pair-3-measure-2         g2 rendered=yes; mode=compound-component; displayed=staff-5+staff-pair-3-measure-2; color-match=yes; source=<path>
shape-453.6  CurvedStroke  owned=yes staff-5+staff-pair-3-measure-3         g2 rendered=yes; mode=compound-component; displayed=staff-5+staff-pair-3-measure-3; color-match=yes; source=<path>
shape-453.7  CurvedStroke  owned=yes staff-5+staff-pair-3-measure-3         g1 rendered=yes; mode=compound-component; displayed=staff-5+staff-pair-3-measure-3; color-match=yes; source=<path>
shape-453.8  CurvedStroke  owned=yes staff-5+staff-pair-3-measure-4         g2 rendered=yes; mode=compound-component; displayed=staff-5+staff-pair-3-measure-4; color-match=yes; source=<path>
shape-453.9  CurvedStroke  owned=yes staff-5+staff-pair-3-measure-4         g2 rendered=yes; mode=compound-component; displayed=staff-5+staff-pair-3-measure-4; color-match=yes; source=<path>
shape-565.1  CurvedStroke  owned=yes staff-8+staff-pair-4-measure-2         g1 rendered=yes; mode=compound-component; displayed=staff-8+staff-pair-4-measure-2; color-match=yes; source=<path>
shape-565.10 CurvedStroke  owned=yes staff-7+staff-pair-4-measure-3         g1 rendered=yes; mode=compound-component; displayed=staff-7+staff-pair-4-measure-3; color-match=yes; source=<path>
shape-565.2  CurvedStroke  owned=yes staff-8+staff-pair-4-measure-2         g1 rendered=yes; mode=compound-component; displayed=staff-8+staff-pair-4-measure-2; color-match=yes; source=<path>
shape-565.3  CurvedStroke  owned=yes staff-8+staff-pair-4-measure-3         g1 rendered=yes; mode=compound-component; displayed=staff-8+staff-pair-4-measure-3; color-match=yes; source=<path>
shape-565.4  CurvedStroke  owned=yes staff-8+staff-pair-4-measure-3         g1 rendered=yes; mode=compound-component; displayed=staff-8+staff-pair-4-measure-3; color-match=yes; source=<path>
shape-565.5  CurvedStroke  owned=yes staff-8+staff-pair-4-measure-3         g1 rendered=yes; mode=compound-component; displayed=staff-8+staff-pair-4-measure-3; color-match=yes; source=<path>
shape-565.6  CurvedStroke  owned=yes staff-8+staff-pair-4-measure-3         g2 rendered=yes; mode=compound-component; displayed=staff-8+staff-pair-4-measure-3; color-match=yes; source=<path>
shape-565.7  CurvedStroke  owned=yes staff-7+staff-pair-4-measure-1         g2 rendered=yes; mode=compound-component; displayed=staff-7+staff-pair-4-measure-1; color-match=yes; source=<path>
shape-565.8  CurvedStroke  owned=yes staff-7+staff-pair-4-measure-2         g2 rendered=yes; mode=compound-component; displayed=staff-7+staff-pair-4-measure-2; color-match=yes; source=<path>
shape-565.9  CurvedStroke  owned=yes staff-7+staff-pair-4-measure-2         g2 rendered=yes; mode=compound-component; displayed=staff-7+staff-pair-4-measure-2; color-match=yes; source=<path>
shape-623    CurvedStroke  owned=yes staff-8+staff-pair-4-measure-2         g3 rendered=yes; mode=direct; displayed=staff-8+staff-pair-4-measure-2; color-match=yes; source=<use href=#ownership-P-580>
shape-693.1  CurvedStroke  owned=yes staff-10+staff-pair-5-measure-1        g1 rendered=yes; mode=compound-component; displayed=staff-10+staff-pair-5-measure-1; color-match=yes; source=<path>
shape-693.10 CurvedStroke  owned=yes staff-9+staff-pair-5-measure-1         g2 rendered=yes; mode=compound-component; displayed=staff-9+staff-pair-5-measure-1; color-match=yes; source=<path>
shape-693.11 CurvedStroke  owned=yes staff-9+staff-pair-5-measure-1         g2 rendered=yes; mode=compound-component; displayed=staff-9+staff-pair-5-measure-1; color-match=yes; source=<path>
shape-693.12 CurvedStroke  owned=yes staff-9+staff-pair-5-measure-2         g1 rendered=yes; mode=compound-component; displayed=staff-9+staff-pair-5-measure-2; color-match=yes; source=<path>
shape-693.13 CurvedStroke  owned=yes staff-9+staff-pair-5-measure-2         g1 rendered=yes; mode=compound-component; displayed=staff-9+staff-pair-5-measure-2; color-match=yes; source=<path>
shape-693.14 CurvedStroke  owned=yes staff-9+staff-pair-5-measure-2         g1 rendered=yes; mode=compound-component; displayed=staff-9+staff-pair-5-measure-2; color-match=yes; source=<path>
shape-693.2  CurvedStroke  owned=yes staff-10+staff-pair-5-measure-1        g1 rendered=yes; mode=compound-component; displayed=staff-10+staff-pair-5-measure-1; color-match=yes; source=<path>
shape-693.3  CurvedStroke  owned=yes staff-10+staff-pair-5-measure-1        g1 rendered=yes; mode=compound-component; displayed=staff-10+staff-pair-5-measure-1; color-match=yes; source=<path>
shape-693.4  CurvedStroke  owned=yes staff-10+staff-pair-5-measure-1        g2 rendered=yes; mode=compound-component; displayed=staff-10+staff-pair-5-measure-1; color-match=yes; source=<path>
shape-693.5  CurvedStroke  owned=yes staff-10+staff-pair-5-measure-2        g1 rendered=yes; mode=compound-component; displayed=staff-10+staff-pair-5-measure-2; color-match=yes; source=<path>
shape-693.6  CurvedStroke  owned=yes staff-10+staff-pair-5-measure-2        g1 rendered=yes; mode=compound-component; displayed=staff-10+staff-pair-5-measure-2; color-match=yes; source=<path>
shape-693.7  CurvedStroke  owned=yes staff-10+staff-pair-5-measure-2        g1 rendered=yes; mode=compound-component; displayed=staff-10+staff-pair-5-measure-2; color-match=yes; source=<path>
shape-693.8  CurvedStroke  owned=yes staff-10+staff-pair-5-measure-2        g1 rendered=yes; mode=compound-component; displayed=staff-10+staff-pair-5-measure-2; color-match=yes; source=<path>
shape-693.9  CurvedStroke  owned=yes staff-9+staff-pair-5-measure-1         g2 rendered=yes; mode=compound-component; displayed=staff-9+staff-pair-5-measure-1; color-match=yes; source=<path>
shape-722    CurvedStroke  owned=no  rendered=no  source=<use href=#av>
shape-742    CurvedStroke  owned=no  rendered=no  source=<use href=#aL>
shape-745.1  CurvedStroke  owned=no  rendered=no  source=<use href=#aN>
shape-745.2  CurvedStroke  owned=no  rendered=no  source=<use href=#aN>
shape-766.1  CurvedStroke  owned=no  rendered=no  source=<use href=#aV>
shape-766.2  CurvedStroke  owned=no  rendered=no  source=<use href=#aV>
shape-783    CurvedStroke  owned=no  rendered=no  source=<use href=#aL>
shape-788    CurvedStroke  owned=no  rendered=no  source=<use href=#bf>
shape-793    CurvedStroke  owned=no  rendered=no  source=<use href=#bk>
shape-806    CurvedStroke  owned=no  rendered=no  source=<use href=#bx>
shape-816    CurvedStroke  owned=no  rendered=no  source=<use href=#bF>
shape-100    EllipseLike   owned=yes staff-1+staff-pair-1-measure-4         g1 rendered=yes; mode=direct; displayed=staff-1+staff-pair-1-measure-4; color-match=yes; source=<use href=#ownership-h-84>
shape-104    EllipseLike   owned=yes staff-1+staff-pair-1-measure-4         g1 rendered=yes; mode=direct; displayed=staff-1+staff-pair-1-measure-4; color-match=yes; source=<use href=#ownership-j-88>
shape-105    EllipseLike   owned=yes staff-1+staff-pair-1-measure-4         g1 rendered=yes; mode=direct; displayed=staff-1+staff-pair-1-measure-4; color-match=yes; source=<use href=#ownership-i-89>
shape-106    EllipseLike   owned=yes staff-1+staff-pair-1-measure-4         g2 rendered=yes; mode=direct; displayed=staff-1+staff-pair-1-measure-4; color-match=yes; source=<use href=#ownership-i-90>
shape-108    EllipseLike   owned=yes staff-1+staff-pair-1-measure-4         g1 rendered=yes; mode=direct; displayed=staff-1+staff-pair-1-measure-4; color-match=yes; source=<use href=#ownership-j-92>
shape-110    EllipseLike   owned=yes staff-1+staff-pair-1-measure-4         g1 rendered=yes; mode=direct; displayed=staff-1+staff-pair-1-measure-4; color-match=yes; source=<use href=#ownership-j-94>
shape-112    EllipseLike   owned=yes staff-2+staff-pair-1-measure-4         g1 rendered=yes; mode=direct; displayed=staff-2+staff-pair-1-measure-4; color-match=yes; source=<use href=#ownership-i-96>
shape-113    EllipseLike   owned=yes staff-2+staff-pair-1-measure-4         g1 rendered=yes; mode=direct; displayed=staff-2+staff-pair-1-measure-4; color-match=yes; source=<use href=#ownership-i-97>
shape-115    EllipseLike   owned=yes staff-2+staff-pair-1-measure-4         g1 rendered=yes; mode=direct; displayed=staff-2+staff-pair-1-measure-4; color-match=yes; source=<use href=#ownership-j-99>
shape-116    EllipseLike   owned=yes staff-2+staff-pair-1-measure-4         g1 rendered=yes; mode=direct; displayed=staff-2+staff-pair-1-measure-4; color-match=yes; source=<use href=#ownership-j-100>
shape-12     EllipseLike   owned=yes staff-1+staff-pair-1-measure-1         g1 rendered=yes; mode=direct; displayed=staff-1+staff-pair-1-measure-1; color-match=yes; source=<use href=#ownership-f-7>
shape-126.1  EllipseLike   owned=yes staff-3+staff-pair-2-measure-3         g3 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-3; color-match=yes; source=<use href=#ownership-z-106>
shape-127    EllipseLike   owned=yes staff-3+staff-pair-2-measure-1         g1 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-1; color-match=yes; source=<use href=#ownership-i-107>
shape-129    EllipseLike   owned=yes staff-3+staff-pair-2-measure-1         g1 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-1; color-match=yes; source=<use href=#ownership-h-109>
shape-132    EllipseLike   owned=yes staff-3+staff-pair-2-measure-1         g1 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-1; color-match=yes; source=<use href=#ownership-h-112>
shape-133    EllipseLike   owned=yes staff-3+staff-pair-2-measure-1         g1 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-1; color-match=yes; source=<use href=#ownership-h-113>
shape-135    EllipseLike   owned=yes staff-3+staff-pair-2-measure-1         g1 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-1; color-match=yes; source=<use href=#ownership-h-115>
shape-139    EllipseLike   owned=yes staff-3+staff-pair-2-measure-1         g1 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-1; color-match=yes; source=<use href=#ownership-i-119>
shape-14     EllipseLike   owned=yes staff-1+staff-pair-1-measure-1         g1 rendered=yes; mode=direct; displayed=staff-1+staff-pair-1-measure-1; color-match=yes; source=<use href=#ownership-f-9>
shape-141    EllipseLike   owned=yes staff-3+staff-pair-2-measure-1         g1 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-1; color-match=yes; source=<use href=#ownership-j-121>
shape-142    EllipseLike   owned=yes staff-4+staff-pair-2-measure-1         g1 rendered=yes; mode=direct; displayed=staff-4+staff-pair-2-measure-1; color-match=yes; source=<use href=#ownership-i-122>
shape-143    EllipseLike   owned=yes staff-4+staff-pair-2-measure-1         g1 rendered=yes; mode=direct; displayed=staff-4+staff-pair-2-measure-1; color-match=yes; source=<use href=#ownership-i-123>
shape-145    EllipseLike   owned=yes staff-4+staff-pair-2-measure-1         g1 rendered=yes; mode=direct; displayed=staff-4+staff-pair-2-measure-1; color-match=yes; source=<use href=#ownership-j-125>
shape-146    EllipseLike   owned=yes staff-4+staff-pair-2-measure-1         g1 rendered=yes; mode=direct; displayed=staff-4+staff-pair-2-measure-1; color-match=yes; source=<use href=#ownership-j-126>
shape-148    EllipseLike   owned=yes staff-3+staff-pair-2-measure-2         g1 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-2; color-match=yes; source=<use href=#ownership-i-128>
shape-150    EllipseLike   owned=yes staff-3+staff-pair-2-measure-2         g1 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-2; color-match=yes; source=<use href=#ownership-h-130>
shape-154    EllipseLike   owned=yes staff-3+staff-pair-2-measure-2         g1 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-2; color-match=yes; source=<use href=#ownership-h-134>
shape-155    EllipseLike   owned=yes staff-3+staff-pair-2-measure-2         g1 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-2; color-match=yes; source=<use href=#ownership-h-135>
shape-157    EllipseLike   owned=yes staff-3+staff-pair-2-measure-2         g1 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-2; color-match=yes; source=<use href=#ownership-h-137>
shape-160    EllipseLike   owned=yes staff-3+staff-pair-2-measure-2         g1 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-2; color-match=yes; source=<use href=#ownership-i-140>
shape-161    EllipseLike   owned=yes staff-3+staff-pair-2-measure-2         g2 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-2; color-match=yes; source=<use href=#ownership-i-141>
shape-163    EllipseLike   owned=yes staff-3+staff-pair-2-measure-2         g1 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-2; color-match=yes; source=<use href=#ownership-j-143>
shape-165    EllipseLike   owned=yes staff-3+staff-pair-2-measure-2         g1 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-2; color-match=yes; source=<use href=#ownership-j-145>
shape-168    EllipseLike   owned=yes staff-4+staff-pair-2-measure-2         g1 rendered=yes; mode=direct; displayed=staff-4+staff-pair-2-measure-2; color-match=yes; source=<use href=#ownership-i-148>
shape-169    EllipseLike   owned=yes staff-4+staff-pair-2-measure-2         g1 rendered=yes; mode=direct; displayed=staff-4+staff-pair-2-measure-2; color-match=yes; source=<use href=#ownership-i-149>
shape-171    EllipseLike   owned=yes staff-4+staff-pair-2-measure-2         g1 rendered=yes; mode=direct; displayed=staff-4+staff-pair-2-measure-2; color-match=yes; source=<use href=#ownership-j-151>
shape-172    EllipseLike   owned=yes staff-4+staff-pair-2-measure-2         g1 rendered=yes; mode=direct; displayed=staff-4+staff-pair-2-measure-2; color-match=yes; source=<use href=#ownership-j-152>
shape-175    EllipseLike   owned=yes staff-3+staff-pair-2-measure-3         g1 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-3; color-match=yes; source=<use href=#ownership-h-155>
shape-177    EllipseLike   owned=yes staff-3+staff-pair-2-measure-3         g1 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-3; color-match=yes; source=<use href=#ownership-h-157>
shape-178    EllipseLike   owned=yes staff-4+staff-pair-2-measure-3         g1 rendered=yes; mode=direct; displayed=staff-4+staff-pair-2-measure-3; color-match=yes; source=<use href=#ownership-h-158>
shape-182    EllipseLike   owned=yes staff-3+staff-pair-2-measure-3         g1 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-3; color-match=yes; source=<use href=#ownership-h-162>
shape-184    EllipseLike   owned=yes staff-3+staff-pair-2-measure-3         g1 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-3; color-match=yes; source=<use href=#ownership-h-164>
shape-185    EllipseLike   owned=yes staff-4+staff-pair-2-measure-3         g1 rendered=yes; mode=direct; displayed=staff-4+staff-pair-2-measure-3; color-match=yes; source=<use href=#ownership-h-165>
shape-187    EllipseLike   owned=yes staff-3+staff-pair-2-measure-3         g1 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-3; color-match=yes; source=<use href=#ownership-h-167>
shape-189    EllipseLike   owned=yes staff-3+staff-pair-2-measure-3         g1 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-3; color-match=yes; source=<use href=#ownership-h-169>
shape-19     EllipseLike   owned=yes staff-1+staff-pair-1-measure-1         g1 rendered=yes; mode=direct; displayed=staff-1+staff-pair-1-measure-1; color-match=yes; source=<use href=#ownership-h-14>
shape-190    EllipseLike   owned=yes staff-4+staff-pair-2-measure-3         g1 rendered=yes; mode=direct; displayed=staff-4+staff-pair-2-measure-3; color-match=yes; source=<use href=#ownership-h-170>
shape-191    EllipseLike   owned=yes staff-4+staff-pair-2-measure-3         g1 rendered=yes; mode=direct; displayed=staff-4+staff-pair-2-measure-3; color-match=yes; source=<use href=#ownership-h-171>
shape-192    EllipseLike   owned=yes staff-4+staff-pair-2-measure-3         g1 rendered=yes; mode=direct; displayed=staff-4+staff-pair-2-measure-3; color-match=yes; source=<use href=#ownership-h-172>
shape-196    EllipseLike   owned=yes staff-3+staff-pair-2-measure-3         g1 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-3; color-match=yes; source=<use href=#ownership-h-176>
shape-198    EllipseLike   owned=yes staff-3+staff-pair-2-measure-3         g1 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-3; color-match=yes; source=<use href=#ownership-h-178>
shape-199    EllipseLike   owned=yes staff-4+staff-pair-2-measure-3         g1 rendered=yes; mode=direct; displayed=staff-4+staff-pair-2-measure-3; color-match=yes; source=<use href=#ownership-h-179>
shape-200    EllipseLike   owned=yes staff-4+staff-pair-2-measure-3         g1 rendered=yes; mode=direct; displayed=staff-4+staff-pair-2-measure-3; color-match=yes; source=<use href=#ownership-h-180>
shape-201    EllipseLike   owned=yes staff-4+staff-pair-2-measure-3         g1 rendered=yes; mode=direct; displayed=staff-4+staff-pair-2-measure-3; color-match=yes; source=<use href=#ownership-h-181>
shape-203    EllipseLike   owned=yes staff-3+staff-pair-2-measure-3         g1 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-3; color-match=yes; source=<use href=#ownership-h-183>
shape-205    EllipseLike   owned=yes staff-3+staff-pair-2-measure-3         g1 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-3; color-match=yes; source=<use href=#ownership-h-185>
shape-206    EllipseLike   owned=yes staff-4+staff-pair-2-measure-3         g1 rendered=yes; mode=direct; displayed=staff-4+staff-pair-2-measure-3; color-match=yes; source=<use href=#ownership-h-186>
shape-207    EllipseLike   owned=yes staff-4+staff-pair-2-measure-3         g1 rendered=yes; mode=direct; displayed=staff-4+staff-pair-2-measure-3; color-match=yes; source=<use href=#ownership-h-187>
shape-208    EllipseLike   owned=yes staff-4+staff-pair-2-measure-3         g1 rendered=yes; mode=direct; displayed=staff-4+staff-pair-2-measure-3; color-match=yes; source=<use href=#ownership-h-188>
shape-209    EllipseLike   owned=yes staff-4+staff-pair-2-measure-3         g1 rendered=yes; mode=direct; displayed=staff-4+staff-pair-2-measure-3; color-match=yes; source=<use href=#ownership-h-189>
shape-21     EllipseLike   owned=yes staff-1+staff-pair-1-measure-1         g1 rendered=yes; mode=direct; displayed=staff-1+staff-pair-1-measure-1; color-match=yes; source=<use href=#ownership-h-16>
shape-213    EllipseLike   owned=yes staff-3+staff-pair-2-measure-3         g1 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-3; color-match=yes; source=<use href=#ownership-i-193>
shape-214    EllipseLike   owned=yes staff-4+staff-pair-2-measure-3         g2 rendered=yes; mode=direct; displayed=staff-4+staff-pair-2-measure-3; color-match=yes; source=<use href=#ownership-i-194>
