shape-3      Stroke        g1 staff-1+staff-pair-1-measure-1 -> staff-2+staff-pair-1-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-4      ShapeInstance g1 staff-1+staff-pair-1-measure-1 -> staff-1+staff-pair-1-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-5.1    ShapeInstance g1 staff-2+staff-pair-1-measure-1 -> staff-2+staff-pair-1-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-6      ShapeInstance g1 staff-1+staff-pair-1-measure-1 -> staff-1+staff-pair-1-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-7      ShapeInstance g1 staff-1+staff-pair-1-measure-1 -> staff-1+staff-pair-1-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-8      ShapeInstance g1 staff-2+staff-pair-1-measure-1 -> staff-2+staff-pair-1-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-9      ShapeInstance g1 staff-2+staff-pair-1-measure-1 -> staff-2+staff-pair-1-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-10.1   Stroke        g1 staff-1+staff-pair-1-measure-1 -> staff-2+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-10.10  Stroke        g1 staff-2+staff-pair-1-measure-1 -> staff-2+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-10.11  Stroke        g1 staff-2+staff-pair-1-measure-1 -> staff-2+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-10.12  Stroke        g1 staff-2+staff-pair-1-measure-1 -> staff-2+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-10.13  Stroke        g1 staff-2+staff-pair-1-measure-1 -> staff-2+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-10.14  Stroke        g1 staff-2+staff-pair-1-measure-1 -> staff-2+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-10.2   Stroke        g1 staff-1+staff-pair-1-measure-2 -> staff-2+staff-pair-1-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-10.3   Stroke        g1 staff-1+staff-pair-1-measure-3 -> staff-2+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-10.4   Stroke        g1 staff-1+staff-pair-1-measure-4 -> staff-2+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-10.5   Stroke        g1 staff-1+staff-pair-1-measure-1 -> staff-1+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-10.6   Stroke        g1 staff-1+staff-pair-1-measure-1 -> staff-1+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-10.7   Stroke        g1 staff-1+staff-pair-1-measure-1 -> staff-1+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-10.8   Stroke        g1 staff-1+staff-pair-1-measure-1 -> staff-1+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-10.9   Stroke        g1 staff-1+staff-pair-1-measure-1 -> staff-1+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-12     EllipseLike   g1 staff-1+staff-pair-1-measure-1 -> staff-1+staff-pair-1-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-13     Stroke        g1 staff-1+staff-pair-1-measure-1 -> staff-1+staff-pair-1-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-14     EllipseLike   g1 staff-1+staff-pair-1-measure-1 -> staff-1+staff-pair-1-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-15     ShapeInstance g1 staff-1+staff-pair-1-measure-1 -> staff-1+staff-pair-1-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-16     Stroke        g1 staff-1+staff-pair-1-measure-1 -> staff-1+staff-pair-1-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-17     Stroke        g1 staff-1+staff-pair-1-measure-1 -> staff-1+staff-pair-1-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-18     Stroke        g1 staff-1+staff-pair-1-measure-1 -> staff-1+staff-pair-1-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-19     EllipseLike   g1 staff-1+staff-pair-1-measure-1 -> staff-1+staff-pair-1-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-20     Stroke        g1 staff-1+staff-pair-1-measure-1 -> staff-1+staff-pair-1-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-21     EllipseLike   g1 staff-1+staff-pair-1-measure-1 -> staff-1+staff-pair-1-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-22     EllipseLike   g1 staff-1+staff-pair-1-measure-1 -> staff-1+staff-pair-1-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-23     Stroke        g1 staff-1+staff-pair-1-measure-1 -> staff-1+staff-pair-1-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-24     EllipseLike   g1 staff-1+staff-pair-1-measure-1 -> staff-1+staff-pair-1-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-25     EllipseLike   g2 staff-2+staff-pair-1-measure-1 -> staff-2+staff-pair-1-measure-1 reason=Proximity; parent=shape-27.2; distance=0.000
shape-26     EllipseLike   g1 staff-2+staff-pair-1-measure-1 -> staff-2+staff-pair-1-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-27.1   Stroke        g1 staff-2+staff-pair-1-measure-1 -> staff-2+staff-pair-1-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-27.2   Stroke        g1 staff-2+staff-pair-1-measure-1 -> staff-2+staff-pair-1-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-28     EllipseLike   g1 staff-2+staff-pair-1-measure-1 -> staff-2+staff-pair-1-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-29     EllipseLike   g1 staff-2+staff-pair-1-measure-1 -> staff-2+staff-pair-1-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-41     ShapeInstance g2 staff-2+staff-pair-1-measure-1 -> staff-2+staff-pair-1-measure-1 reason=Proximity; parent=shape-28; distance=3.481
shape-42     EllipseLike   g1 staff-1+staff-pair-1-measure-2 -> staff-1+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-43     Stroke        g1 staff-1+staff-pair-1-measure-2 -> staff-1+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-44     EllipseLike   g1 staff-1+staff-pair-1-measure-2 -> staff-1+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-45     ShapeInstance g1 staff-1+staff-pair-1-measure-2 -> staff-1+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-46     Stroke        g1 staff-1+staff-pair-1-measure-2 -> staff-1+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-47     Stroke        g1 staff-1+staff-pair-1-measure-2 -> staff-1+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-48     EllipseLike   g1 staff-1+staff-pair-1-measure-2 -> staff-1+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-49     Stroke        g1 staff-1+staff-pair-1-measure-2 -> staff-1+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-50     EllipseLike   g1 staff-1+staff-pair-1-measure-2 -> staff-1+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-51     EllipseLike   g1 staff-1+staff-pair-1-measure-2 -> staff-1+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-52     Stroke        g1 staff-1+staff-pair-1-measure-2 -> staff-1+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-53     EllipseLike   g1 staff-1+staff-pair-1-measure-2 -> staff-1+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-54     Stroke        g1 staff-1+staff-pair-1-measure-2 -> staff-1+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-55     EllipseLike   g1 staff-1+staff-pair-1-measure-2 -> staff-1+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-56     Stroke        g1 staff-1+staff-pair-1-measure-2 -> staff-1+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-57     EllipseLike   g1 staff-1+staff-pair-1-measure-2 -> staff-1+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-58     Stroke        g1 staff-1+staff-pair-1-measure-2 -> staff-1+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-59     EllipseLike   g1 staff-1+staff-pair-1-measure-2 -> staff-1+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-60     Stroke        g1 staff-1+staff-pair-1-measure-2 -> staff-1+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-61.1   Stroke        g2 staff-1+staff-pair-1-measure-2 -> staff-1+staff-pair-1-measure-2 reason=Proximity; parent=shape-52; distance=0.000
shape-61.2   Stroke        g1 staff-1+staff-pair-1-measure-2 -> staff-1+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-61.3   Stroke        g1 staff-1+staff-pair-1-measure-2 -> staff-1+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-62     ShapeInstance g2 staff-1+staff-pair-1-measure-2 -> staff-1+staff-pair-1-measure-2 reason=Proximity; parent=shape-56; distance=0.000
shape-63     EllipseLike   g1 staff-1+staff-pair-1-measure-2 -> staff-1+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-64     EllipseLike   g2 staff-1+staff-pair-1-measure-2 -> staff-1+staff-pair-1-measure-2 reason=Proximity; parent=shape-63; distance=2.772
shape-65     Stroke        g1 staff-1+staff-pair-1-measure-2 -> staff-1+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-66     EllipseLike   g1 staff-1+staff-pair-1-measure-2 -> staff-1+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-67     EllipseLike   g1 staff-1+staff-pair-1-measure-2 -> staff-1+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-68     EllipseLike   g1 staff-2+staff-pair-1-measure-2 -> staff-2+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-69     EllipseLike   g1 staff-2+staff-pair-1-measure-2 -> staff-2+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-70     Stroke        g1 staff-2+staff-pair-1-measure-2 -> staff-2+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-71     EllipseLike   g1 staff-2+staff-pair-1-measure-2 -> staff-2+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-72     EllipseLike   g1 staff-2+staff-pair-1-measure-2 -> staff-2+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-73     ShapeInstance g1 staff-2+staff-pair-1-measure-2 -> staff-2+staff-pair-1-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-74     EllipseLike   g1 staff-1+staff-pair-1-measure-3 -> staff-1+staff-pair-1-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-75     Stroke        g1 staff-1+staff-pair-1-measure-3 -> staff-1+staff-pair-1-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-76     EllipseLike   g1 staff-1+staff-pair-1-measure-3 -> staff-1+staff-pair-1-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-77     Stroke        g1 staff-1+staff-pair-1-measure-3 -> staff-1+staff-pair-1-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-78     Stroke        g1 staff-1+staff-pair-1-measure-3 -> staff-1+staff-pair-1-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-79     Stroke        g1 staff-1+staff-pair-1-measure-3 -> staff-1+staff-pair-1-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-80     EllipseLike   g1 staff-1+staff-pair-1-measure-3 -> staff-1+staff-pair-1-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-81     Stroke        g1 staff-1+staff-pair-1-measure-3 -> staff-1+staff-pair-1-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-82     EllipseLike   g1 staff-1+staff-pair-1-measure-3 -> staff-1+staff-pair-1-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-83     EllipseLike   g1 staff-1+staff-pair-1-measure-3 -> staff-1+staff-pair-1-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-84     EllipseLike   g2 staff-1+staff-pair-1-measure-3 -> staff-1+staff-pair-1-measure-3 reason=Proximity; parent=shape-87; distance=0.000
shape-85     Stroke        g1 staff-1+staff-pair-1-measure-3 -> staff-1+staff-pair-1-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-86     EllipseLike   g1 staff-1+staff-pair-1-measure-3 -> staff-1+staff-pair-1-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-87     Stroke        g1 staff-1+staff-pair-1-measure-3 -> staff-1+staff-pair-1-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-88     EllipseLike   g1 staff-1+staff-pair-1-measure-3 -> staff-1+staff-pair-1-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-89     EllipseLike   g1 staff-2+staff-pair-1-measure-3 -> staff-2+staff-pair-1-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-90     EllipseLike   g1 staff-2+staff-pair-1-measure-3 -> staff-2+staff-pair-1-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-91     EllipseLike   g1 staff-2+staff-pair-1-measure-3 -> staff-2+staff-pair-1-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-92     EllipseLike   g1 staff-2+staff-pair-1-measure-3 -> staff-2+staff-pair-1-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-93     Stroke        g1 staff-2+staff-pair-1-measure-3 -> staff-2+staff-pair-1-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-94     EllipseLike   g1 staff-2+staff-pair-1-measure-3 -> staff-2+staff-pair-1-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-95     EllipseLike   g1 staff-2+staff-pair-1-measure-3 -> staff-2+staff-pair-1-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-96     EllipseLike   g1 staff-2+staff-pair-1-measure-3 -> staff-2+staff-pair-1-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-97     EllipseLike   g1 staff-2+staff-pair-1-measure-3 -> staff-2+staff-pair-1-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-98     EllipseLike   g1 staff-1+staff-pair-1-measure-4 -> staff-1+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-99     Stroke        g1 staff-1+staff-pair-1-measure-4 -> staff-1+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-100    EllipseLike   g1 staff-1+staff-pair-1-measure-4 -> staff-1+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-101    Stroke        g1 staff-1+staff-pair-1-measure-4 -> staff-1+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-102    Stroke        g1 staff-1+staff-pair-1-measure-4 -> staff-1+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-103    Stroke        g1 staff-1+staff-pair-1-measure-4 -> staff-1+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-104    EllipseLike   g1 staff-1+staff-pair-1-measure-4 -> staff-1+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-105    EllipseLike   g1 staff-1+staff-pair-1-measure-4 -> staff-1+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-106    EllipseLike   g2 staff-1+staff-pair-1-measure-4 -> staff-1+staff-pair-1-measure-4 reason=Proximity; parent=shape-109; distance=0.000
